iter	Logloss
114	0.5449656361
115	0.5439730086
116	0.543121741
117	0.5426496398
118	0.5419898843
119	0.5416866662
120	0.541375099
121	0.5408829599
122	0.5397538095
123	0.5392668526
124	0.5383665841
125	0.5375753151
126	0.5369243694
127	0.5365243588
128	0.5357282531
129	0.5350127022
130	0.5346605985
131	0.5338250502
132	0.5330583105
133	0.5323276736
134	0.5315987065
135	0.5309973375
136	0.530600609
137	0.529681051
138	0.5293143218
139	0.5285952586
140	0.5278282885
141	0.5274332298
142	0.5260934506
143	0.5248078544
144	0.5245985499
145	0.524051767
146	0.5235979764
147	0.5224145277
148	0.522100024
149	0.5212008494
150	0.5205799031
151	0.5201452291
152	0.5196114018
153	0.5191262299
154	0.5187930701
155	0.5183091649
156	0.5176377782
157	0.5172660396
158	0.5170392882
159	0.5161021107
160	0.5150957216
161	0.5145588425
162	0.5144022816
163	0.5137315282
164	0.5131462241
165	0.5127278454
166	0.5122299482
167	0.5115497517
168	0.5107637801
169	0.510441906
170	0.5100133356
171	0.5097413261
172	0.5096099278
173	0.5091923552
174	0.5087579691
175	0.5083574403
176	0.5078875272
177	0.5072303628
178	0.5064502644
179	0.5056474794
180	0.5051532673
181	0.5042001976
182	0.5037871739
183	0.5035564495
184	0.5022197795
185	0.5018113622
186	0.5011622591
187	0.5007427863
188	0.500249438
189	0.4995353843
190	0.4991558723
191	0.4987910433
192	0.498012442
193	0.497732256
194	0.4966716263
195	0.49597548
196	0.4957934685
197	0.4954131504
198	0.4950592041
199	0.4947984228
200	0.4942449606
201	0.4933817162
202	0.4929993252
203	0.4924531757
204	0.4919442807
205	0.4915620624
206	0.4910409603
207	0.4904730455
208	0.4898863019
209	0.4895807806
210	0.4889452089
211	0.4882594846
212	0.4873618072
213	0.4868127211
214	0.4857181189
215	0.484967041
216	0.4846210408
217	0.4838268352
218	0.4835798156
219	0.483279131
220	0.4828007248
221	0.4821883867
222	0.4817495958
223	0.480767304
224	0.4806402818
225	0.4801967405
226	0.4796255436
227	0.4792394098
228	0.4780334473
229	0.4770253595
230	0.4765285852
231	0.4757397922
232	0.4747651298
233	0.4741018043
234	0.4734440066
235	0.4729102369
236	0.4723743367
237	0.4717802803
238	0.4713730146
239	0.4711523956
240	0.4707440934
241	0.4704626983
242	0.4697975015
243	0.4690612217
244	0.4687515547
245	0.4679247586
246	0.466990057
247	0.4664044362
248	0.4656706324
249	0.4650244371
250	0.4643138957
251	0.4638669284
252	0.4635868576
253	0.4630396141
254	0.4627188341
255	0.461957622
256	0.4615861713
257	0.4606725729
258	0.4599972707
259	0.4595120988
260	0.4590550837
261	0.4583339475
262	0.4575837909
263	0.4567839712
264	0.4561057613
265	0.4555978163
266	0.454975632
267	0.4543070955
268	0.4538795903
269	0.4536059973
270	0.4523938161
271	0.4515787952
272	0.4505062463
273	0.4501805719
274	0.4494278818
275	0.4483686051
276	0.4476212699
277	0.4472675827
278	0.446738477
279	0.4460666585
280	0.4450100593
281	0.44480539
282	0.4445351943
283	0.4439154283
284	0.4432827932
285	0.442764311
286	0.4423749816
287	0.4416137695
288	0.4410134945
289	0.4401800767
290	0.43939399
291	0.4389398827
292	0.4382101095
293	0.4377466742
294	0.4372409173
295	0.4364174321
296	0.4358271185
297	0.4350127886
298	0.4342785529
299	0.4339184743
300	0.4330898069
301	0.4323457538
302	0.431778386
303	0.431022241
304	0.4304168701
305	0.4298917375
306	0.4297062136
307	0.4288627193
308	0.4284111167
309	0.4277767541
310	0.4269284806
311	0.4266303008
312	0.4259913606
313	0.4251500256
314	0.4245698749
315	0.4238053808
316	0.4233106505
317	0.4226249263
318	0.4219477528
319	0.421575611
320	0.4210640961
321	0.420441883
322	0.4196500094
323	0.4191414599
324	0.4190002441
325	0.4182569684
326	0.4179286453
327	0.4175015432
328	0.4168951071
329	0.4164347523
330	0.4161662839
331	0.415721044
332	0.4152593937
333	0.4148307944
334	0.414405103
335	0.4137436777
336	0.4133404426
337	0.412764668
338	0.4125073703
339	0.4121168604
340	0.4115058179
341	0.4113586138
342	0.410597373
343	0.4099719066
344	0.409171799
345	0.4087266166
346	0.4079320368
347	0.4071829166
348	0.4066748277
349	0.4059163795
350	0.4057714498
351	0.4053497314
352	0.4050186445
353	0.4044567756
354	0.4035799998
355	0.4029922197
356	0.4025681406
357	0.4020526238
358	0.4015038832
359	0.4013842025
360	0.4002993026
361	0.3999757011
362	0.3998322397
363	0.3990041481
364	0.3989029506
365	0.3981276026
366	0.3978077727
367	0.3972210866
368	0.3965638071
369	0.3960146634
370	0.3955676673
371	0.3952945349
372	0.3949088043
373	0.3944040838
374	0.3937994903
375	0.3934166386
376	0.3930687958
377	0.3925504289
378	0.3922799452
379	0.3917629602
380	0.3916376654
381	0.3912472131
382	0.3908548607
383	0.3904241886
384	0.3898443834
385	0.3893844317
386	0.3889283954
387	0.3882845321
388	0.3879281674
389	0.3873166066
390	0.3870063638
391	0.3865654999
392	0.3861886942
393	0.3854902159
394	0.3849190766
395	0.3844264768
396	0.384125418
397	0.3839990868
398	0.3834893569
399	0.3830502204
400	0.3823032595
401	0.3819352636
402	0.3818568392
403	0.3813377812
404	0.3808144335
405	0.3802031895
406	0.3799616976
407	0.3796990449
408	0.3791619643
409	0.3784816526
410	0.3781955359
411	0.3778702646
412	0.3775743017
413	0.3767044355
414	0.3762489463
415	0.376155954
416	0.376039066
417	0.3756850908
418	0.3753142159
419	0.3752229223
420	0.3745118339
421	0.3740085242
422	0.3731376792
423	0.3728374265
424	0.3725262624
425	0.3720151793
426	0.3715143168
427	0.3711885848
428	0.3711037114
429	0.3704407026
430	0.3700874185
431	0.3697965226
432	0.3694065598
433	0.369328049
434	0.3689023288
435	0.3685612229
436	0.3681342935
437	0.3679445375
438	0.3676118671
439	0.3672746478
440	0.3666812249
441	0.3663278256
442	0.3657956393
443	0.3654068281
444	0.3648516385
445	0.3643320336
446	0.363742123
447	0.3634098269
448	0.3629296645
449	0.3624062016
450	0.3621172635
451	0.3617863493
452	0.3611468909
453	0.360889334
454	0.3606630145
455	0.3605957607
456	0.3600096505
457	0.3595521459
458	0.3594625797
459	0.3588277853
460	0.3584932147
461	0.3581478767
462	0.3580851141
463	0.3575089365
464	0.3572338752
465	0.356849584
466	0.3565941865
467	0.3562810646
468	0.3559356689
469	0.3553982717
470	0.3553309315
471	0.354977964
472	0.354503646
473	0.3544354133
474	0.3540998063
475	0.353724181
476	0.3533671253
477	0.3529048992
478	0.3528554664
479	0.3523224165
480	0.3521745214
481	0.3518874258
482	0.3514681258
483	0.3510434133
484	0.3505215339
485	0.3500782517
486	0.3497603794
487	0.3493662996
488	0.348945157
489	0.3486442134
490	0.3482603253
491	0.3478044618
492	0.3475109748
493	0.3471492551
494	0.3466674229
495	0.3462467697
496	0.3458671714
497	0.3457861558
498	0.345382892
499	0.3447972424
500	0.3446309791
501	0.344222677
502	0.3440142362
503	0.3435659157
504	0.3431912404
505	0.3428308163
506	0.342771998
507	0.3425648815
508	0.3422345431
509	0.341876595
510	0.3415502584
511	0.341481709
512	0.3414144264
513	0.3411566968
514	0.3405092635
515	0.3401556627
516	0.3398186162
517	0.3397553066
518	0.339350085
519	0.3392787142
520	0.3389206796
521	0.3385642574
522	0.3383050307
523	0.3379532724
524	0.3375660446
525	0.3372241326
526	0.3365230344
527	0.3362575891
528	0.3359008213
529	0.3356503757
530	0.3352379277
531	0.3351013471
532	0.3350380664
533	0.3346424031
534	0.3342805107
535	0.3339828779
536	0.3334193967
537	0.3330667748
538	0.3328142562
539	0.3324185353
540	0.3320902123
541	0.3317888368
542	0.3313702565
543	0.3310508296
544	0.330703505
545	0.3304303439
546	0.3303701725
547	0.3301336324
548	0.3298730814
549	0.3298210864
550	0.3293401754
551	0.329127013
552	0.3287691512
553	0.3287132983
554	0.3283094298
555	0.3280783599
556	0.328036096
557	0.3277667927
558	0.327324403
559	0.3270781607
560	0.3270230275
561	0.3267112012
562	0.3262875539
563	0.3258823611
564	0.3255304013
565	0.3252396206
566	0.3249465079
567	0.324768815
568	0.3243360699
569	0.3240378038
570	0.3236459408
571	0.3233392104
572	0.3229733449
573	0.3229259851
574	0.3226283235
575	0.3223443373
576	0.3219735775
577	0.3216932189
578	0.3213217681
579	0.3211041433
580	0.3206176182
581	0.3203917018
582	0.3200697989
583	0.3200209995
584	0.3196828014
585	0.3194219049
586	0.3193617623
587	0.3190689087
588	0.3188230119
589	0.3185282869
590	0.3182895301
591	0.3180530188
592	0.3176465304
593	0.3173366331
594	0.3170857555
595	0.3167947445
596	0.3164516809
597	0.316041968
598	0.3157031077
599	0.3156535311
600	0.3151504229
601	0.3148992287
602	0.3146680148
603	0.3144303232
604	0.3141114145
605	0.3138535985
606	0.3136327204
607	0.3133788487
608	0.3130122347
609	0.3126803416
610	0.3124693097
611	0.312227645
612	0.3120289065
613	0.3117615034
614	0.3113412245
615	0.3110044947
616	0.3108231455
617	0.3107129367
618	0.3104663489
619	0.3101889556
620	0.3099937583
621	0.3096926131
622	0.3093469008
623	0.3092082473
624	0.3090458708
625	0.3087715005
626	0.3084734071
627	0.3084159707
628	0.3081375986
629	0.3078004657
630	0.3075359416
631	0.307220862
632	0.3069050339
633	0.3065970367
634	0.306514812
635	0.3062052889
636	0.3061703664
637	0.306056271
638	0.3059979133
639	0.3056831504
640	0.3053211716
641	0.3050924625
642	0.3047749933
643	0.3045411308
644	0.3041079827
645	0.3039319884
646	0.3037390943
647	0.3033531909
648	0.3030591281
649	0.302804623
650	0.3027576375
651	0.3024441125
652	0.3020657809
653	0.3018284636
654	0.3015717129
655	0.3013869376
656	0.3010387781
657	0.3007139386
658	0.3006710988
659	0.3004834733
660	0.3002781994
661	0.3000564863
662	0.2996711011
663	0.2993562231
664	0.299315485
665	0.2990007508
666	0.2988480478
667	0.2988062733
668	0.298536423
669	0.2982808527
670	0.2979513492
671	0.2976092069
672	0.2974409283
673	0.2972094842
674	0.2970010721
675	0.2967228152
676	0.2965231266
677	0.2963077473
678	0.295938571
679	0.2957825859
680	0.2957483256
681	0.2953628252
682	0.2950768813
683	0.2944421444
684	0.2941494924
685	0.293860036
686	0.2938126474
687	0.2936311542
688	0.2933666589
689	0.2931750603
690	0.292825778
691	0.292588547
692	0.2923933785
693	0.2922027012
694	0.2920026095
695	0.2918276805
696	0.2917804646
697	0.2915297598
698	0.2912247568
699	0.2909127865
700	0.2905876879
701	0.2904210217
702	0.2902654108
703	0.2901156156
704	0.289864882
705	0.2895521056
706	0.289399892
707	0.2890389496
708	0.2887216244
709	0.2885170415
710	0.2883157982
711	0.2881296986
712	0.287933839
713	0.2876373291
714	0.2873294183
715	0.2869894927
716	0.2865844439
717	0.2863854174
718	0.2861366128
719	0.28608266
720	0.2858817334
721	0.2856672755
722	0.2854709841
723	0.2852518909
724	0.2852225538
725	0.2849035587
726	0.2844399794
727	0.2841446787
728	0.2839524179
729	0.2839036186
730	0.2837453014
731	0.2834037925
732	0.2831864843
733	0.2828957036
734	0.282783134
735	0.2826288763
736	0.2825848849
737	0.2823205336
738	0.2820889455
739	0.2818625396
740	0.2816576112
741	0.2816221417
742	0.2813882504
743	0.2811440522
744	0.280977098
745	0.2809460622
746	0.2807385139
747	0.2807062113
748	0.2806651565
749	0.2806416637
750	0.2805383358
751	0.2804320713
752	0.2802113083
753	0.2801910688
754	0.280032435
755	0.2798012787
756	0.2796274437
757	0.2793630924
758	0.2793308186
759	0.2791414081
760	0.2788723064
761	0.2787543819
762	0.2783652252
763	0.2781718416
764	0.2779472495
765	0.2778472612
766	0.2777318703
767	0.2775043416
768	0.2772989237
769	0.2770290447
770	0.2767465843
771	0.276584035
772	0.2762840415
773	0.276155004
774	0.2761100625
775	0.2758552407
776	0.2756857242
777	0.2754531285
778	0.2752040647
779	0.2750084643
780	0.2747707727
781	0.2745518235
782	0.2742494691
783	0.2740386387
784	0.2737933177
785	0.2735169609
786	0.2734323178
787	0.2731375064
788	0.2731097527
789	0.2729326644
790	0.2728054694
791	0.2726322966
792	0.2724583176
793	0.2723040599
794	0.2720281349
795	0.2718038307
796	0.2716818756
797	0.2714717073
798	0.2713033136
799	0.2711278088
800	0.2709747027
801	0.2707675286
802	0.2705725904
803	0.2704250408
804	0.2702018306
805	0.2701707372
806	0.2699337078
807	0.2697757937
808	0.2695455875
809	0.2692685685
810	0.2690655978
811	0.2688838167
812	0.2687454512
813	0.2684934796
814	0.2683952188
815	0.2680433741
816	0.2679325895
817	0.2677729193
818	0.2677543784
819	0.2674321301
820	0.2672112807
821	0.266998982
822	0.2668706642
823	0.266840924
824	0.2667000825
825	0.2664615271
826	0.266310753
827	0.2660589254
828	0.2659358762
829	0.2658629219
830	0.2657167255
831	0.2656993938
832	0.2654892831
833	0.2652777906
834	0.2649852249
835	0.2647683198
836	0.2647500668
837	0.2647146549
838	0.2645276915
839	0.2643504593
840	0.2641932362
841	0.2640921251
842	0.2639599494
843	0.2638580322
844	0.2635348338
845	0.2632831502
846	0.2632584482
847	0.2631150156
848	0.2628679671
849	0.2626942473
850	0.2625017274
851	0.262313267
852	0.2619816618
853	0.2619598101
854	0.2617063702
855	0.2615554234
856	0.2612410347
857	0.2609426246
858	0.2607900943
859	0.260762427
860	0.2606208369
861	0.2603891625
862	0.2603728672
863	0.2598870043
864	0.259603306
865	0.259415479
866	0.2592586589
867	0.2588851065
868	0.2586250161
869	0.258515412
870	0.2583182857
871	0.2580418713
872	0.2577713876
873	0.2575374963
874	0.2573764153
875	0.2567787602
876	0.2565276524
877	0.2562525047
878	0.2560135751
879	0.2558069769
880	0.2556999063
881	0.2555027224
882	0.255336891
883	0.255078125
884	0.254812219
885	0.2545664086
886	0.2543720749
887	0.2541452084
888	0.2540387424
889	0.2536671189
890	0.2534796949
891	0.2531965724
892	0.2530392629
893	0.2527956693
894	0.2526733398
895	0.2524841021
896	0.2522255952
897	0.2520995518
898	0.2520827959
899	0.2519136825
900	0.2517580428
901	0.2515673943
902	0.2513858723
903	0.2512545892
904	0.2510814163
905	0.250935335
906	0.2509195004
907	0.250745579
908	0.2505193458
909	0.2503758844
910	0.2502540444
911	0.2501010247
912	0.2499731388
913	0.2497149198
914	0.2496010834
915	0.2493568276
916	0.2491984817
917	0.2490569493
918	0.2489813463
919	0.2487767058
920	0.2486023525
921	0.2484438338
922	0.2482581373
923	0.2479662337
924	0.2479425394
925	0.2477427932
926	0.2475415788
927	0.247348224
928	0.2471850125
929	0.2468965063
930	0.2466729506
931	0.2463647231
932	0.2462312518
933	0.2461260814
934	0.2459943951
935	0.2456877798
936	0.2455143479
937	0.2453371444
938	0.2452034428
939	0.2450382449
940	0.2450108366
941	0.2448500435
942	0.2447201135
943	0.2445604432
944	0.2443804759
945	0.2442159977
946	0.2440122784
947	0.2438956207
948	0.2438262364
949	0.2438012465
950	0.243587681
951	0.2434308322
952	0.24307893
953	0.2428686178
954	0.2426836698
955	0.2424878678
956	0.242425278
957	0.2422436696
958	0.2422174994
959	0.242012974
960	0.2419002317
961	0.2417641118
962	0.2415659203
963	0.2414258849
964	0.2413493174
965	0.2411997813
966	0.2410251545
967	0.2410128755
968	0.2408140218
969	0.2407969925
970	0.2407762635
971	0.2405785471
972	0.2404712029
973	0.2403352989
974	0.2400183336
975	0.2397632527
976	0.239673888
977	0.2393724118
978	0.239269962
979	0.2391462218
980	0.23909296
981	0.2388625091
982	0.238754546
983	0.2386114444
984	0.2385171566
985	0.2383477265
986	0.2382561162
987	0.238082022
988	0.2380605446
989	0.2379244822
990	0.2377589676
991	0.2376063797
992	0.2375094432
993	0.2372452502
994	0.2370215074
995	0.2368172987
996	0.2366784438
997	0.2364901993
998	0.2362994788
999	0.2361242906
